# k   E(k)  (von Kármán calibrated)
8.576334931674889958e+03 2.730050252054109291e-07
8.736953322483423108e+03 2.693623250221800222e-07
8.897571713291956257e+03 2.656950732650677092e-07
9.058190104100489407e+03 2.620138095782555774e-07
9.218808494909022556e+03 2.583278916680393581e-07
9.379426885717555706e+03 2.546456047966150139e-07
9.540045276526092493e+03 2.509742627046573286e-07
9.700663667334625643e+03 2.473203003536178293e-07
9.861282058143158793e+03 2.436893589284411060e-07
1.002190044895169194e+04 2.400863635695321058e-07
1.018251883976022509e+04 2.365155943144779303e-07
1.034313723056875824e+04 2.329807507294151763e-07
1.050375562137729139e+04 2.294850107003279291e-07
1.066437401218582454e+04 2.260310838385558457e-07
1.082499240299435769e+04 2.226212599344234857e-07
1.098561079380289084e+04 2.192574528697311681e-07
1.114622918461142399e+04 2.159412403750831941e-07
1.130684757541995714e+04 2.126738999925854941e-07
1.146746596622849029e+04 2.094564415789862258e-07
1.162808435703702344e+04 2.062896366593649688e-07
1.178870274784555659e+04 2.031740449173553075e-07
1.194932113865408974e+04 2.001100380848246475e-07
1.210993952946262289e+04 1.970978214721246719e-07
1.227055792027115604e+04 1.941374533595187293e-07
1.243117631107968919e+04 1.912288624512484914e-07
1.259179470188822233e+04 1.883718635759132852e-07
1.275241309269675548e+04 1.855661718003753223e-07
1.291303148350528863e+04 1.828114151092322355e-07
1.307364987431382178e+04 1.801071457879516937e-07
1.323426826512235493e+04 1.774528506349816960e-07
1.339488665593088808e+04 1.748479601164546876e-07
1.355550504673942123e+04 1.722918565664330066e-07
1.371612343754795438e+04 1.697838815259140470e-07
1.387674182835648753e+04 1.673233423049602022e-07
1.403736021916502068e+04 1.649095178442730299e-07
1.419797860997355383e+04 1.625416639452228022e-07
1.435859700078208698e+04 1.602190179307178923e-07
1.451921539159062013e+04 1.579408027932888600e-07
1.467983378239915692e+04 1.557062308813203830e-07
1.484045217320769007e+04 1.535145071694375527e-07
1.500107056401622322e+04 1.513648321545924383e-07
1.516168895482475637e+04 1.492564044153674141e-07
1.532230734563328951e+04 1.471884228683634369e-07
1.548292573644182266e+04 1.451600887522463729e-07
1.564354412725035581e+04 1.431706073670459608e-07
1.580416251805888896e+04 1.412191895936120313e-07
1.596478090886742211e+04 1.393050532157012507e-07
1.612539929967595526e+04 1.374274240649713246e-07
1.628601769048448841e+04 1.355855370071787848e-07
1.644663608129302156e+04 1.337786367860834205e-07
1.660725447210155471e+04 1.320059787399472277e-07
1.676787286291008786e+04 1.302668294040539589e-07
1.692849125371862101e+04 1.285604670113584019e-07
1.708910964452715416e+04 1.268861819021827962e-07
1.724972803533568731e+04 1.252432768528022745e-07
1.741034642614422046e+04 1.236310673317923696e-07
1.757096481695275361e+04 1.220488816921319840e-07
1.773158320776128676e+04 1.204960613062665256e-07
1.789220159856981991e+04 1.189719606506184893e-07
1.805281998937835306e+04 1.174759473453891776e-07
1.821343838018688621e+04 1.160074021549097961e-07
1.837405677099541936e+04 1.145657189532766913e-07
1.853467516180395614e+04 1.131503046595261455e-07
1.869529355261248929e+04 1.117605791461783905e-07
1.885591194342102244e+04 1.103959751245895137e-07
